Time,Open,High,Low,Last,Change,Volume
9/15/2020,10692.27,10937.27,10628.53,10866.25,173.98,31941
9/14/2020,10330.06,10753.51,10219.66,10692.27,362.23,30510
9/11/2020,10304.29,10379.33,10212.02,10330.04,25.76,19755
9/10/2020,10260.91,10487.96,10184.43,10304.28,43.44,32629
9/9/2020,10015.78,10348.02,9858.94,10260.84,245.06,31958
9/8/2020,10148.45,10439.3,9932.65,10015.78,-132.66,38548
9/7/2020,10604.49,10628.55,9884.18,10148.44,-455.92,33051
9/4/2020,10785.88,10800.65,9960.82,10604.36,-181.52,85905
9/3/2020,11374.55,11451.58,10511.85,10785.88,-588.67,67327
9/2/2020,12021.28,12056.17,11221.57,11374.55,-646.17,52740
9/1/2020,11678.25,12060.58,11554.71,12020.72,342.47,35830
8/31/2020,11500.22,11776.19,11435.05,11678.25,175.61,21052
8/28/2020,11263.41,11549.05,11254.58,11502.64,239.23,24892
8/27/2020,11511.86,11589.42,11133.49,11263.41,-248.45,34782
8/26/2020,11269.62,11540.21,11258.31,11511.86,242.24,22838
8/25/2020,11728.86,11786.89,11126.87,11269.62,-459.24,35710
8/24/2020,11623.34,11825.31,11380.38,11728.86,78.79,16282
8/21/2020,11863.53,11884.41,11614.56,11650.07,-213.99,31279
8/20/2020,11716.63,11891.88,11681.12,11864.06,147.43,23171
8/19/2020,12032.02,12097.92,11617.32,11716.63,-314.74,43466
8/18/2020,12322.48,12405.51,11846.3,12031.37,-291.11,47952
8/17/2020,11792.43,12476.88,11704,12322.48,550.88,85730
8/14/2020,11630.87,11856.97,11630.87,11771.6,140.73,36807
8/13/2020,11571.15,11659.09,11280.98,11630.87,59.72,30205
8/12/2020,11195.81,11620.25,11141.87,11571.15,373.6,34673
8/11/2020,11859.05,11936.85,11139.23,11197.55,-661.51,49854
8/10/2020,11573.42,12073.09,11533.37,11859.06,284.88,48186
8/7/2020,11859.61,11911.65,11356.23,11574.18,-285.43,53171
8/6/2020,11692.86,11909.66,11568.07,11859.61,166.74,43976
8/5/2020,11217.31,11724.92,11109.49,11692.87,475.56,32935
8/4/2020,11380.92,11410.68,11044.15,11217.31,-163.61,31961
8/3/2020,11348.12,12101.63,10661.65,11380.92,32.8,47604
7/31/2020,11152.88,11455.24,10982.22,11348.12,195.31,42991
7/30/2020,11223.06,11349.05,10867.84,11152.81,-70.98,39051
7/29/2020,10982.32,11295.61,10856.63,11223.79,242.82,49085
7/28/2020,10879.59,11382.25,10590.36,10980.97,101.38,162758
7/27/2020,9628.27,10905.53,9534.71,10879.59,1251.31,124763
7/24/2020,9590.67,9633.15,9478.59,9628.28,37.62,23946
7/23/2020,9376.62,9665.85,9370.19,9590.66,214.04,70321
7/22/2020,9377.46,9399.83,9296.97,9376.62,-0.85,17716
7/21/2020,9176.8,9435.83,9155.59,9377.47,200.67,28527
7/20/2020,9157.87,9234.62,9113.49,9176.8,18.93,15535
7/17/2020,9105.27,9181.17,9083.15,9157.87,52.72,16975
7/16/2020,9213.04,9230.61,9037.31,9105.15,-107.89,24930
7/15/2020,9274.5,9278.5,9160.91,9213.04,-61.45,18028
7/14/2020,9247.74,9278.14,9126.81,9274.49,26.75,20960
7/13/2020,9233.74,9341.74,9168.57,9247.74,14.01,20686
7/10/2020,9239.66,9257.22,9130.18,9233.73,-5.93,17413
7/9/2020,9431.7,9469.14,9170.25,9239.66,-192.22,25413
7/8/2020,9255.85,9472.81,9233.09,9431.88,176.23,27910
7/7/2020,9278.9,9376.68,9208.77,9255.65,-23.25,21314
7/6/2020,9092.85,9352.89,8934.94,9278.9,186.05,28166
7/3/2020,9083.53,9146.72,9059.59,9092.85,9.36,16602
7/2/2020,9239.49,9264.51,8952.36,9083.49,-156.01,29029
7/1/2020,9147.06,9298.23,9096.22,9239.5,92.44,21233
6/30/2020,9182.33,9235.36,9064.17,9147.06,-35.27,18097
6/29/2020,9192.46,9206.5,8848.18,9182.33,-10.66,36135
6/26/2020,9277.89,9328.97,9039.4,9192.99,-84.9,32279
6/25/2020,9290.51,9316.93,9010.34,9277.89,-12.59,58813
6/24/2020,9631.86,9665.03,9212.66,9290.48,-341.68,38517
6/23/2020,9655.95,9781.36,9581.86,9632.16,-23.55,28448
6/22/2020,9316.43,9664.79,9191.16,9655.71,339.52,26567
6/19/2020,9328.07,9419.42,9235.87,9316.19,-15.36,23805
6/18/2020,9374.29,9479.86,9316.32,9331.55,-40.66,18283
6/17/2020,9494.75,9552.3,9246.67,9372.21,-122.74,25277
6/16/2020,9483.34,9586.36,9383.16,9494.95,11.61,31092
6/15/2020,9463.33,9490.54,8912.17,9483.34,20.01,85471
6/12/2020,9345.47,9544.28,9238.79,9463.33,119.12,33935
6/11/2020,9869.42,9961.74,9096.88,9344.21,-525.21,78045
6/10/2020,9751.39,9998.98,9714.86,9869.42,118.01,37264
6/9/2020,9702.36,9881.52,9603.25,9751.41,49.06,28920
6/8/2020,9714.69,9806.88,9409.76,9702.35,-12.11,22383
6/5/2020,9786.16,9855.47,9620.17,9714.46,-71.7,31850
6/4/2020,9582.72,9876.75,9471.61,9786.16,203.44,37522
6/3/2020,9523.19,9635.59,9426.31,9582.72,59.54,28707
6/2/2020,9693.2,10359.58,9340.02,9523.18,-170.02,197105
6/1/2020,9416.4,9734.65,9332.33,9693.2,276.8,27817
5/29/2020,9448.09,9616.02,9344.93,9416.4,-31.43,36482
5/28/2020,9165.17,9528.46,9058.34,9447.83,282.66,43167
5/27/2020,8863.72,9217.03,8807.22,9165.17,301.92,31811
5/26/2020,8917.92,9006.67,8705.92,8863.25,-54.67,30186
5/25/2020,9183.91,9309.51,8647.02,8917.92,-265.31,44942
5/22/2020,9060.62,9263.09,8942.69,9183.23,122.61,38082
5/21/2020,9587.65,9587.73,8819.19,9060.62,-527.03,111118
5/20/2020,9688.13,9835.19,9323.33,9587.65,-100.46,51950
5/19/2020,9679.22,9889.29,9478.14,9688.11,8.89,66542
5/18/2020,9236.12,9942.5,9211.56,9679.22,443.1,55182
5/15/2020,9658.45,9846.5,9162.84,9236.12,-422.08,72421
5/14/2020,9308.47,9934.35,9270.67,9658.2,351.08,84319
5/13/2020,8819.6,9338.61,8755.14,9307.12,486.5,51639
5/12/2020,8638.11,8972.94,8489.76,8820.62,182.51,55260
5/11/2020,9996.06,10013.45,8201.24,8638.11,-1357.95,126807
5/8/2020,9802.24,10058.62,9736.97,9996.06,194.46,120351
5/7/2020,9247.68,9956.52,9055.27,9801.6,553.92,157636
5/6/2020,8955.94,9394.25,8924.35,9247.68,291.74,90622
5/5/2020,8934.08,9119.8,8792.58,8955.94,25.68,47938
5/4/2020,8743.89,9198.67,8537.79,8930.26,186.55,48876
5/1/2020,8821.71,9065.31,8595.02,8743.71,-78.71,57359
4/30/2020,8927.21,9460.63,8414.32,8822.42,-104.47,138860
4/29/2020,7734.99,8928.42,7718.93,8926.89,1191.9,199208
4/28/2020,7708.23,7793.01,7673.69,7734.99,26.77,32005
4/27/2020,7535.4,7786.64,7451.23,7708.22,172.82,39007
4/24/2020,7541.93,7615.89,7405.22,7535.4,-6.53,44154
4/23/2020,7124.6,7724.16,7041.44,7541.93,417.33,67677
4/22/2020,6895.76,7164.86,6828.84,7124.6,227.85,34332
4/21/2020,6870.66,6937.81,6778.33,6896.75,27.17,36117
4/20/2020,7061.85,7301.64,6765.37,6869.58,-192.27,53221
4/17/2020,7053,7205.42,7002.43,7061.85,9.57,44727
4/16/2020,6752.4,7128.28,6485.16,7052.28,299.88,79500
4/15/2020,6871.67,6936.65,6694.73,6752.4,-119.19,34195
4/14/2020,6833.39,6984.86,6776.47,6871.59,39.57,37980
4/13/2020,6928.04,7197.37,6593.76,6832.02,-96.02,63311
4/10/2020,7305.65,7322.83,6761.23,6928.04,-377.61,61561
4/9/2020,7326.53,7395.93,7125.69,7305.65,-20.88,41626
4/8/2020,7120.28,7423.1,7091,7326.53,205.69,46430
4/7/2020,7229.05,7461.54,7084.35,7120.84,-108.21,64040
4/6/2020,6704.3,7319.93,6679.16,7229.05,524.77,71677
4/3/2020,6750.29,7042.74,6616.87,6704.28,-45.12,57633
4/2/2020,6355.57,7244.3,6355.56,6749.4,393.83,104522
4/1/2020,6480.71,6495.97,6166.48,6355.57,-124.24,41851
3/31/2020,6479.6,6600.36,6352.91,6479.81,0.2,42385
3/30/2020,6682.13,6706.03,5866.9,6479.61,-202.58,62072
3/27/2020,6747.08,6865.72,6589.21,6682.19,-64.9,49960
3/26/2020,6597.68,6792.56,6541.94,6747.09,149.28,44010
3/25/2020,6751.6,6974.3,6487.95,6597.81,-153.79,66946
3/24/2020,6418.29,6847.22,6361.9,6751.6,333.21,107109
3/23/2020,5957.79,6625.48,5720.83,6418.39,457.28,91678
3/20/2020,6252.34,6926.59,5690.21,5961.11,-291.23,118468
3/19/2020,5342.22,6382.74,5267.61,6252.34,910.12,116114
3/18/2020,5474,5563.54,5029.03,5342.22,-132.12,86404
3/17/2020,4904.49,5504.26,4868.74,5474.34,569.75,110535
3/16/2020,5420.56,5948.57,4452.6,4904.59,-515.24,344373
3/13/2020,5763.53,5965.47,3925.27,5419.83,-344.75,528158
3/12/2020,7865.29,7997.84,5615.65,5764.58,-2100.74,337862
3/11/2020,8003.77,8043.39,7603.34,7865.32,-138.45,34369
3/10/2020,7866.08,8158.53,7752.68,8003.77,137.77,48885
3/9/2020,9141.14,9214.81,7665.49,7866,-1275.38,74392
3/6/2020,9116.65,9181.32,9007.04,9141.38,24.73,16308
3/5/2020,8734.25,9173.13,8733.11,9116.65,382.4,29657
3/4/2020,8745.59,8852.53,8689.28,8734.25,-11.34,18969
3/3/2020,8946.57,8976.31,8673.26,8745.59,-200.99,21488
3/2/2020,8673.01,8952.47,8432.31,8946.58,273.56,27895
2/28/2020,8764.83,8900.09,8442.35,8673.02,-91.82,29895
2/27/2020,8754.39,8972.37,8531.84,8764.84,11.4,31704
2/26/2020,9385.08,9425.55,8651.5,8753.44,-631.63,49520
2/25/2020,9608.81,9679.95,9253.02,9385.07,-223.74,24730
2/24/2020,9672.82,10024.3,9491.61,9608.81,-64.01,26111
2/21/2020,9610.49,9766.4,9580.55,9672.82,62.33,16305
2/20/2020,9598.12,9706.1,9457.1,9610.49,9.9,31363
2/19/2020,10148.46,10301.4,9340.23,9600.59,-547.87,39242
2/18/2020,9647.99,10276.44,9620.17,10148.46,500.37,28117
2/17/2020,10339.16,10391.33,9481.07,9648.09,-691.09,35402
2/14/2020,10184.26,10386.71,10103.74,10339.18,157.15,26254
2/13/2020,10381.52,10499.36,10086.25,10182.03,-199.49,60700
2/12/2020,10234.35,10474.59,10213.92,10381.52,147.18,60309
2/11/2020,9865.2,10345.26,9714.74,10234.34,369.14,46855
2/10/2020,9742.78,10186.32,9663.01,9865.2,122.42,40326
2/7/2020,9737.64,9862.46,9656.72,9742.78,5.79,25844
2/6/2020,9688.74,9854.41,9537.9,9736.99,48.25,40260
2/5/2020,9146.82,9739.84,9136.29,9688.74,541.82,55708
2/4/2020,9283.17,9345.68,9091.73,9146.92,-136.23,25188
2/3/2020,9354.95,9591.7,9195.49,9283.15,-71.81,47926
1/31/2020,9551.07,9560.99,9207.13,9354.96,-196.11,28761
