Time,Open,High,Low,Last,Change,Volume
9/15/2020,1956.1,1970.74,1949.13,1953.39,-2.74,7393
9/14/2020,1939.69,1961.1,1938.26,1956.13,16.45,7582
9/11/2020,1945.95,1953.42,1938.14,1939.68,-6.26,7272
9/10/2020,1946.48,1964.61,1942.02,1945.94,-0.53,7314
9/9/2020,1931.08,1949.99,1920.81,1946.47,15.38,7051
9/8/2020,1928.41,1939.8,1908.38,1931.09,2.68,7440
9/7/2020,1932.88,1940.49,1925.54,1928.41,-4.44,6133
9/4/2020,1930.23,1940.86,1918.66,1932.85,2.56,6995
9/3/2020,1942.75,1950.16,1924.83,1930.29,-12.56,7430
9/2/2020,1970.34,1972.4,1934.45,1942.85,-27.6,7449
9/1/2020,1967.35,1991.22,1965.49,1970.45,3.16,7626
8/31/2020,1964.06,1975.1,1955.87,1967.29,3.24,7350
8/28/2020,1928.72,1972.73,1924.37,1964.05,35.42,7216
8/27/2020,1953.19,1966.5,1916.95,1928.63,-24.64,6308
8/26/2020,1927.55,1954.22,1903.83,1953.27,25.83,6860
8/25/2020,1928.56,1936.91,1915.37,1927.44,-1.16,6928
8/24/2020,1939.46,1959.35,1924.14,1928.6,-9.03,6820
8/21/2020,1945.84,1954.22,1913.83,1937.63,-8.25,6257
8/20/2020,1927.62,1953.49,1925.37,1945.88,18.44,5415
8/19/2020,2001.27,2005.8,1925.53,1927.44,-74.13,5569
8/18/2020,1984.36,2014.05,1980.92,2001.57,17.23,6107
8/17/2020,1943.63,1988.75,1931.55,1984.34,40.69,6267
8/14/2020,1952.69,1961.25,1935.31,1943.65,-9.12,5809
8/13/2020,1916.35,1964.61,1913.54,1952.77,36.53,5599
8/12/2020,1911.64,1947.89,1869.42,1916.24,4.46,5406
8/11/2020,2027.03,2029.24,1907.78,1911.78,-115.16,6329
8/10/2020,2033.81,2048.77,2021.46,2026.94,-6.81,6421
8/7/2020,2062.96,2070.48,2016.43,2033.75,-29.27,6188
8/6/2020,2037.5,2067.64,2035.1,2063.02,25.4,6283
8/5/2020,2018.09,2052.69,2010.32,2037.62,19.46,6241
8/4/2020,1976.16,2018.16,1970.02,2018.16,42.03,6587
8/3/2020,1974.67,1984.06,1961.22,1976.13,1.45,6715
7/31/2020,1955.68,1976.77,1955.3,1974.68,18.87,6991
7/30/2020,1970.18,1970.73,1940.7,1955.81,-14.39,6895
7/29/2020,1958.91,1977.4,1946.74,1970.2,11.13,6588
7/28/2020,1941.29,1976.81,1911.71,1959.07,17.86,6530
7/27/2020,1900.83,1945.13,1900.38,1941.21,40.33,6615
7/24/2020,1886.53,1904.74,1883,1900.88,14.39,6937
7/23/2020,1871.46,1897.08,1864.64,1886.49,15.06,6716
7/22/2020,1841.39,1871.43,1840.66,1871.43,30.18,6765
7/21/2020,1816.85,1842.9,1815.94,1841.25,24.47,6887
7/20/2020,1809.34,1819.09,1805.91,1816.78,7.45,6842
7/17/2020,1796.53,1810.92,1796.06,1809.33,12.94,6776
7/16/2020,1809.91,1812.79,1795.06,1796.39,-13.8,6897
7/15/2020,1809,1813.49,1803.53,1810.19,1.13,6602
7/14/2020,1801.78,1810.1,1792.78,1809.06,7.17,6732
7/13/2020,1797.97,1812.09,1797.83,1801.89,3.86,6832
7/10/2020,1802.68,1809.29,1794.14,1798.03,-4.69,6754
7/9/2020,1808.25,1815.34,1798.03,1802.72,-5.56,6784
7/8/2020,1794.22,1815.35,1792.09,1808.28,13.94,6469
7/7/2020,1784.03,1796.77,1774.87,1794.34,10.4,7290
7/6/2020,1774.46,1786.52,1770.76,1783.94,9.51,7334
7/3/2020,1774.85,1776.55,1772.81,1774.43,-0.5,6293
